Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable	Std. Lower Bound	PCA Lower Bound	PCA Conf estimation
?b  term22  ?a   => ?a  term22  ?b	0.679738562	0.679738562	0.693333333	104	153	150	?a	0.0	0.0	0.0
?b  term0  ?a   => ?a  term0  ?b	0.724324324	0.724324324	0.740331492	134	185	181	?b	0.0	0.0	0.0
?b  term25  ?a   => ?a  term20  ?b	0.028708134	1	1	6	6	6	?a	0.0	0.0	0.0
?b  term20  ?a   => ?a  term20  ?b	0.612440191	0.612440191	0.649746193	128	209	197	?a	0.0	0.0	0.0
?b  term13  ?a   => ?a  term21  ?b	0.188679245	0.054495913	0.125	20	367	160	?b	0.0	0.0	0.0
?b  term21  ?a   => ?a  term21  ?b	0.396226415	0.396226415	0.42	42	106	100	?b	0.0	0.0	0.0
?b  term14  ?a   => ?a  term12  ?b	0.063559322	0.441176471	0.535714286	15	34	28	?a	0.0	0.0	0.0
?b  term13  ?a   => ?a  term12  ?b	0.224576271	0.144414169	0.216326531	53	367	245	?a	0.0	0.0	0.0
?b  term12  ?a   => ?a  term12  ?b	0.194915254	0.194915254	0.264367816	46	236	174	?a	0.0	0.0	0.0
?b  term10  ?a   => ?a  term11  ?b	0.401666667	0.614795918	0.617948718	241	392	390	?b	0.0	0.0	0.0
?b  term9  ?a   => ?a  term11  ?b	0.335	0.543243243	0.556786704	201	370	361	?b	0.0	0.0	0.0
?b  term4  ?a   => ?a  term4  ?b	0.697201018	0.697201018	0.722955145	274	393	379	?a	0.0	0.0	0.0
?b  term15  ?a   => ?a  term6  ?b	0.759459459	0.371202114	0.380243572	281	757	739	?a	0.0	0.0	0.0
?b  term15  ?a   => ?a  term5  ?b	0.754950495	0.402906209	0.405585106	305	757	752	?a	0.0	0.0	0.0
?b  term9  ?a   => ?a  term10  ?b	0.12755102	0.135135135	0.157232704	50	370	318	?a	0.0	0.0	0.0
?b  term11  ?a   => ?a  term10  ?b	0.614795918	0.401666667	0.425044092	241	600	567	?a	0.0	0.0	0.0
?b  term5  ?a   => ?a  term15  ?b	0.402906209	0.754950495	0.756823821	305	404	403	?a	0.0	0.0	0.0
?b  term6  ?a   => ?a  term15  ?b	0.371202114	0.759459459	0.780555556	281	370	360	?a	0.0	0.0	0.0
?b  term9  ?a   => ?a  term9  ?b	0.091891892	0.091891892	0.107594937	34	370	316	?a	0.0	0.0	0.0
?b  term10  ?a   => ?a  term9  ?b	0.135135135	0.12755102	0.14619883	50	392	342	?a	0.0	0.0	0.0
?b  term11  ?a   => ?a  term9  ?b	0.543243243	0.335	0.351398601	201	600	572	?a	0.0	0.0	0.0
?b  term2  ?a   => ?a  term1  ?b	0.333333333	0.699453552	0.699453552	128	183	183	?b	0.0	0.0	0.0
?b  term1  ?a   => ?a  term1  ?b	0.364583333	0.364583333	0.388888889	140	384	360	?b	0.0	0.0	0.0
?b  term17  ?a   => ?a  term17  ?b	0.5	0.5	0.512820513	160	320	312	?b	0.0	0.0	0.0
?b  term3  ?a   => ?a  term17  ?b	0.13125	0.140468227	0.174273859	42	299	241	?b	0.0	0.0	0.0
?b  term12  ?a   => ?a  term17  ?b	0.06875	0.093220339	0.102325581	22	236	215	?b	0.0	0.0	0.0
?b  term13  ?a   => ?a  term8  ?b	0.081632653	0.141689373	0.141689373	52	367	367	?a	0.0	0.0	0.0
?b  term16  ?a   => ?a  term8  ?b	0.549450549	0.348605578	0.351405622	350	1004	996	?a	0.0	0.0	0.0
?b  term19  ?a   => ?a  term8  ?b	0.010989011	0.7	0.7	7	10	10	?a	0.0	0.0	0.0
?b  term13  ?a   => ?a  term13  ?b	0.217983651	0.217983651	0.253968254	80	367	315	?a	0.0	0.0	0.0
?b  term12  ?a   => ?a  term13  ?b	0.144414169	0.224576271	0.281914894	53	236	188	?a	0.0	0.0	0.0
?b  term21  ?a   => ?a  term13  ?b	0.054495913	0.188679245	0.235294118	20	106	85	?a	0.0	0.0	0.0
?b  term14  ?a   => ?a  term13  ?b	0.019073569	0.205882353	0.291666667	7	34	24	?a	0.0	0.0	0.0
?b  term8  ?a   => ?a  term13  ?b	0.141689373	0.081632653	0.118451025	52	637	439	?a	0.0	0.0	0.0
?b  term18  ?a   => ?a  term18  ?b	0.747826087	0.747826087	0.75273523	344	460	457	?a	0.0	0.0	0.0
?b  term1  ?a   => ?a  term2  ?b	0.699453552	0.333333333	0.45229682	128	384	283	?b	0.0	0.0	0.0
?b  term17  ?a   => ?a  term3  ?b	0.140468227	0.13125	0.168674699	42	320	249	?b	0.0	0.0	0.0
?b  term3  ?a   => ?a  term3  ?b	0.474916388	0.474916388	0.491349481	142	299	289	?b	0.0	0.0	0.0
?b  term21  ?a   => ?a  term3  ?b	0.040133779	0.113207547	0.114285714	12	106	105	?b	0.0	0.0	0.0
?b  term7  ?a   => ?a  term16  ?b	0.388446215	0.588235294	0.588235294	390	663	663	?b	0.0	0.0	0.0
?b  term8  ?a   => ?a  term16  ?b	0.348605578	0.549450549	0.549450549	350	637	637	?b	0.0	0.0	0.0
?b  term13  ?a   => ?a  term7  ?b	0.07239819	0.130790191	0.133704735	48	367	359	?a	0.0	0.0	0.0
?b  term16  ?a   => ?a  term7  ?b	0.588235294	0.388446215	0.391959799	390	1004	995	?a	0.0	0.0	0.0
?f  term17  ?a  ?b  term8  ?f   => ?a  term22  ?b	0.810457516	0.115027829	0.123260437	124	1078	1006	?a	0.0	0.0	0.0
?f  term13  ?a  ?b  term8  ?f   => ?a  term22  ?b	0.647058824	0.102167183	0.11	99	969	900	?a	0.0	0.0	0.0
?f  term4  ?a  ?b  term8  ?f   => ?a  term22  ?b	0.60130719	0.057428215	0.138345865	92	1602	665	?a	0.0	0.0	0.0
?a  term12  ?f  ?b  term8  ?f   => ?a  term22  ?b	0.633986928	0.068892045	0.145427286	97	1408	667	?a	0.0	0.0	0.0
?a  term4  ?f  ?b  term8  ?f   => ?a  term22  ?b	0.581699346	0.054802956	0.13671275	89	1624	651	?a	0.0	0.0	0.0
?a  term17  ?f  ?b  term8  ?f   => ?a  term22  ?b	0.581699346	0.113520408	0.123268698	89	784	722	?a	0.0	0.0	0.0
?a  term14  ?f  ?b  term8  ?f   => ?a  term22  ?b	0.052287582	0.04040404	0.117647059	8	198	68	?a	0.0	0.0	0.0
?a  term20  ?f  ?b  term8  ?f   => ?a  term22  ?b	0.032679739	0.004118616	0.192307692	5	1214	26	?a	0.0	0.0	0.0
?f  term13  ?a  ?b  term16  ?f   => ?a  term22  ?b	0.85620915	0.111394558	0.120848708	131	1176	1084	?a	0.0	0.0	0.0
?b  term16  ?f  ?f  term21  ?a   => ?a  term22  ?b	0.607843137	0.135371179	0.148089172	93	687	628	?a	0.0	0.0	0.0
?b  term16  ?f  ?f  term17  ?a   => ?a  term22  ?b	0.588235294	0.060402685	0.117955439	90	1490	763	?a	0.0	0.0	0.0
?b  term16  ?f  ?a  term3  ?f   => ?a  term22  ?b	0.45751634	0.066921606	0.109034268	70	1046	642	?a	0.0	0.0	0.0
?b  term16  ?f  ?a  term17  ?f   => ?a  term22  ?b	0.359477124	0.041415663	0.111336032	55	1328	494	?a	0.0	0.0	0.0
?b  term16  ?f  ?a  term21  ?f   => ?a  term22  ?b	0.31372549	0.095049505	0.106430155	48	505	451	?a	0.0	0.0	0.0
?a  term14  ?f  ?b  term16  ?f   => ?a  term22  ?b	0.052287582	0.050632911	0.170212766	8	158	47	?a	0.0	0.0	0.0
?b  term16  ?f  ?a  term20  ?f   => ?a  term22  ?b	0.013071895	0.002293578	0.181818182	2	872	11	?a	0.0	0.0	0.0
?a  term13  ?f  ?b  term16  ?f   => ?a  term22  ?b	0.562091503	0.058226134	0.11025641	86	1477	780	?a	0.0	0.0	0.0
?f  term2  ?a  ?b  term6  ?f   => ?a  term22  ?b	0.516339869	0.134353741	0.228323699	79	588	346	?a	0.0	0.0	0.0
?f  term10  ?a  ?b  term6  ?f   => ?a  term22  ?b	0.307189542	0.093812375	0.105855856	47	501	444	?a	0.0	0.0	0.0
?a  term1  ?f  ?b  term6  ?f   => ?a  term22  ?b	0.60130719	0.104664391	0.199134199	92	879	462	?a	0.0	0.0	0.0
?f  term11  ?a  ?b  term6  ?f   => ?a  term22  ?b	0.666666667	0.074235808	0.167213115	102	1374	610	?a	0.0	0.0	0.0
?a  term2  ?f  ?b  term6  ?f   => ?a  term22  ?b	0.052287582	0.053691275	0.153846154	8	149	52	?a	0.0	0.0	0.0
?f  term1  ?a  ?b  term6  ?f   => ?a  term22  ?b	0.37254902	0.085457271	0.174311927	57	667	327	?a	0.0	0.0	0.0
?a  term11  ?f  ?b  term6  ?f   => ?a  term22  ?b	0.333333333	0.056603774	0.120567376	51	901	423	?a	0.0	0.0	0.0
?f  term10  ?a  ?b  term18  ?f   => ?a  term22  ?b	0.640522876	0.142028986	0.152886115	98	690	641	?a	0.0	0.0	0.0
?f  term11  ?a  ?b  term18  ?f   => ?a  term22  ?b	0.470588235	0.055512722	0.117073171	72	1297	615	?a	0.0	0.0	0.0
