sub:8	obj:8	sub:7	obj:7	sub:22	obj:22	sub:23	obj:23	sub:3	obj:3	sub:10	obj:10	sub:20	obj:20	sub:19	obj:19	sub:2	obj:2	sub:1	obj:1	sub:24	obj:24	sub:21	obj:21	sub:5	obj:5	sub:9	obj:9	sub:18	obj:18	sub:4	obj:4	sub:13	obj:13	sub:0	obj:0	sub:12	obj:12	sub:15	obj:15	sub:14	obj:14	sub:6	obj:6	sub:11	obj:11	sub:17	obj:17	sub:16	obj:16
31	31	18	75	31	86	31	82	100	18	18	70	75	9	18	46	17	86	60	31	18	24	46	58	78	86	75	61	90	17	23	1	84	9	23	68	48	92	67	84	62	84	""	""	""	""	""	""	""	""
4	4	14	45	62	""	62	""	14	14	13	91	45	""	74	80	50	""	""	91	76	""	""	""	""	""	""	94	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
81	81	84	36	33	""	81	""	67	79	97	84	20	""	84	56	20	""	4	84	88	""	37	""	4	""	36	24	62	36	72	""	""	""	""	2	""	""	""	""	""	""	""	""	""	""	""	""	""	""
95	95	103	81	93	57	95	""	38	25	40	38	86	""	103	58	81	""	79	38	86	""	97	""	67	""	86	25	32	48	37	""	""	""	62	10	""	50	""	""	""	""	""	""	""	""	""	""	""	""
56	56	63	94	10	""	10	""	49	65	63	39	66	""	65	21	21	""	80	39	13	""	76	""	80	""	74	39	""	72	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
70	70	61	46	70	97	70	24	27	75	27	75	46	1	61	77	89	97	41	61	17	1	77	67	6	97	78	17	41	78	93	10	32	20	38	102	1	97	88	56	76	56	""	""	""	""	""	""	""	""
57	50	""	""	45	""	57	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
37	37	62	74	63	""	63	""	62	62	39	13	72	""	21	91	74	""	45	83	66	""	45	""	57	""	2	13	""	2	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
96	96	43	70	96	103	96	40	43	5	5	31	70	82	5	75	27	103	46	96	43	82	75	53	75	103	70	100	26	61	68	24	82	82	6	78	53	103	92	81	63	86	""	""	""	""	""	""	""	""
1	1	37	14	20	""	20	""	10	49	37	63	14	""	37	13	83	""	72	65	12	""	72	""	72	""	66	65	57	94	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
47	47	99	100	47	55	99	93	47	96	96	43	100	40	96	70	18	55	17	99	47	40	61	95	18	55	100	5	61	100	77	33	25	40	78	26	25	40	103	53	79	103	""	""	""	""	""	""	""	""
99	99	96	18	99	95	47	38	96	43	43	5	18	44	43	27	70	95	26	47	96	25	27	103	70	95	18	31	17	70	6	48	44	25	89	46	82	38	53	92	56	92	""	""	""	""	""	""	""	""
6	6	68	102	6	62	6	12	60	23	68	68	41	21	90	40	95	66	44	68	41	2	38	91	44	83	93	41	92	103	48	""	13	2	79	81	""	39	72	""	""	57	""	""	""	""	""	""	""	""
""	57	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
3	3	3	8	3	99	3	0	30	30	3	30	59	71	30	8	28	99	85	3	3	71	59	96	8	99	30	30	34	3	71	31	47	0	85	28	16	43	96	5	61	96	""	38	""	""	""	""	""	""
14	14	2	""	66	""	66	""	76	76	72	50	""	""	57	""	""	""	""	50	""	""	""	""	""	""	""	80	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
16	52	0	96	52	6	35	60	0	71	71	98	96	23	71	43	43	6	18	52	0	41	5	68	43	6	47	98	31	47	26	40	23	23	75	100	90	89	68	68	86	90	""	50	""	""	""	""	""	""
91	66	57	""	91	""	91	""	80	80	2	""	""	""	""	""	""	""	""	45	""	""	""	""	""	""	""	45	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
90	68	41	38	90	94	68	14	41	55	23	41	40	45	41	25	103	74	58	23	93	""	53	74	86	91	38	55	81	82	84	""	50	""	88	79	""	94	57	""	""	""	""	""	""	""	""	""	""	""
7	51	7	101	51	54	51	15	51	54	7	51	54	15	51	51	101	54	101	51	7	15	54	54	54	54	7	7	54	7	29	11	15	15	15	15	51	42	54	101	54	54	30	29	8	29	27	26	10	47
55	55	40	86	55	80	55	""	40	38	93	40	92	""	38	86	58	""	84	103	92	""	48	""	97	57	92	38	9	81	10	""	""	""	4	56	""	80	""	""	""	""	""	""	""	""	""	""	""	""
30	30	30	22	30	96	30	71	34	34	30	34	8	47	34	22	85	96	35	30	30	47	8	5	22	96	34	34	8	59	98	27	43	71	16	85	52	5	5	100	75	5	""	40	""	""	""	""	""	""
