sub:31	obj:31	sub:43	obj:43	sub:18	obj:18	sub:35	obj:35	sub:45	obj:45	sub:5	obj:5	sub:40	obj:40	sub:42	obj:42	sub:8	obj:8	sub:34	obj:34	sub:3	obj:3	sub:6	obj:6	sub:23	obj:23	sub:33	obj:33	sub:32	obj:32	sub:2	obj:2	sub:16	obj:16	sub:28	obj:28	sub:38	obj:38	sub:25	obj:25	sub:30	obj:30	sub:14	obj:14	sub:41	obj:41	sub:4	obj:4	sub:15	obj:15	sub:44	obj:44	sub:17	obj:17	sub:27	obj:27	sub:37	obj:37	sub:20	obj:20	sub:46	obj:46	sub:39	obj:39	sub:21	obj:21	sub:11	obj:11	sub:24	obj:24	sub:10	obj:10	sub:9	obj:9	sub:7	obj:7	sub:29	obj:29	sub:19	obj:19	sub:22	obj:22	sub:1	obj:1	sub:36	obj:36	sub:12	obj:12	sub:13	obj:13	sub:26	obj:26
40	116	116	""	47	106	""	91	127	10	65	""	""	114	47	""	""	""	""	""	66	""	""	""	""	""	""	58	""	""	""	""	""	""	""	""	""	""	""	""	""	2	""	121	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	114	""	""	""	""	""	""	""	""	""	33	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	55	""	""	""	""	""	""	""	""	""	102	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
50	""	""	""	89	""	""	""	""	""	""	""	""	""	77	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	92	""	""	""	""	""	""	""	""	""	53	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	121	""	""	""	""	""	""	""	""	""	63	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
92	127	4	""	96	32	""	""	49	65	76	""	""	116	110	""	""	""	""	""	45	""	""	""	""	""	""	32	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	45	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	56	""	""	""	""	""	""	""	""	""	20	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	123	""	""	""	""	""	""	""	""	""	123	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	2	""	""	""	""	""	""	""	""	""	2	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	108	""	""	""	""	""	""	""	""	""	108	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
93	53	117	50	71	135	""	12	106	105	105	""	""	44	35	""	94	""	""	""	12	""	""	""	""	""	""	44	""	""	""	""	""	""	""	""	""	""	""	""	""	12	""	36	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	115	""	""	""	""	""	""	""	""	""	82	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
23	44	44	109	52	90	""	65	33	106	106	""	""	38	16	""	83	2	""	""	79	""	""	""	""	""	""	103	""	""	""	""	""	""	""	""	""	21	""	""	""	10	""	116	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
55	115	82	66	35	128	""	4	97	32	32	""	""	25	52	""	14	45	""	""	4	""	""	""	""	""	""	25	""	""	""	""	""	""	""	""	""	66	""	""	""	49	""	105	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
