sub:1	obj:1	sub:42	obj:42	sub:25	obj:25	sub:39	obj:39	sub:23	obj:23	sub:6	obj:6	sub:27	obj:27	sub:26	obj:26	sub:40	obj:40	sub:8	obj:8	sub:4	obj:4	sub:34	obj:34	sub:29	obj:29	sub:31	obj:31	sub:18	obj:18	sub:35	obj:35	sub:33	obj:33	sub:37	obj:37	sub:19	obj:19	sub:45	obj:45	sub:3	obj:3	sub:30	obj:30	sub:7	obj:7	sub:44	obj:44	sub:2	obj:2	sub:41	obj:41	sub:17	obj:17	sub:20	obj:20	sub:5	obj:5	sub:14	obj:14	sub:38	obj:38	sub:21	obj:21	sub:22	obj:22	sub:32	obj:32	sub:9	obj:9	sub:13	obj:13	sub:12	obj:12	sub:28	obj:28	sub:0	obj:0	sub:43	obj:43	sub:11	obj:11	sub:16	obj:16	sub:24	obj:24	sub:36	obj:36	sub:10	obj:10	sub:15	obj:15
117	114	56	""	99	105	""	57	24	134	10	""	""	134	98	""	""	""	""	""	39	""	""	""	""	""	""	116	""	""	""	""	""	""	""	""	""	""	""	""	""	94	""	4	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	33	""	""	""	""	""	""	""	""	""	33	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	55	""	""	""	""	""	""	""	""	""	102	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
72	""	""	""	77	""	""	""	""	""	""	""	""	""	77	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	122	""	""	""	""	""	""	""	""	""	92	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	4	""	""	""	""	""	""	""	""	""	63	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
81	105	21	""	110	49	""	""	134	4	12	""	""	37	110	""	""	""	""	""	50	""	""	""	""	""	""	105	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	72	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	56	""	""	""	""	""	""	""	""	""	20	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	13	""	""	""	""	""	""	""	""	""	109	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	80	""	""	""	""	""	""	""	""	""	2	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
