1000-1100	"['Fatimid_Caliphate' 'France_in_the_Middle_Ages' 'Holy_Roman_Empire'
 'House_of_1000_Corpses' 'Kingdom_of_England' 'Rob_Zombie'
 'Scott_Humphrey' 'Siege_of_Jerusalem_(1099)']"
1101-1201	"['Aleppo' 'Almoravid_dynasty' 'Armenian_Kingdom_of_Cilicia'
 'Ayyubid_dynasty' 'Battle_of_Azaz_(1125)' 'Battle_of_Uclés_(1108)'
 'Byzantine_Empire' 'County_of_Burgundy' 'County_of_Edessa'
 'County_of_Flanders' 'County_of_Tripoli' 'Crusade_of_1101'
 'Duchy_of_Brittany' 'Duchy_of_Burgundy' 'George_Lucas'
 'Holy_Roman_Empire' 'Kingdom_of_Castile' 'Kingdom_of_England'
 'Kingdom_of_France' 'Kingdom_of_Jerusalem' 'Kingdom_of_León'
 'Kingdom_of_Scotland' 'Knights_Templar' 'Lalo_Schifrin' 'Milan' 'Mosul'
 'Principality_of_Antioch' 'Republic_of_Genoa' 'Revolt_of_1173–74'
 'Siege_of_Acre_(1189–91)' 'Siege_of_Damascus_(1148)' 'Sultanate_of_Rum'
 'Swabia' 'THX_1138' 'Walter_Murch' 'Zengid_dynasty']"
1202-1302	"['Battle_of_Bornhöved_(1227)' 'Battle_of_Wesenberg_(1268)' 'Denmark'
 'Holstein' 'Livonian_Order' 'Novgorod_Republic']"
1303-1403	"['County_of_Flanders' 'Crown_of_Castile'
 'English_Channel_naval_campaign_(1338–1339)' 'Grand_Duchy_of_Lithuania'
 'Kingdom_of_Bohemia' 'Kingdom_of_England' 'Kingdom_of_France'
 'Kingdom_of_Hungary' 'Mazovia' 'Polish–Teutonic_War_(1326–32)'
 'Republic_of_Genoa']"
1404-1504	"['1408_(film)' 'Duchy_of_Milan' 'Gabriel_Yared' 'Golden_Horde'
 'Grand_Duchy_of_Lithuania' 'Holy_Roman_Empire' 'Italian_War_of_1494–98'
 'Italian_War_of_1499–1504' 'Kiev' 'Kingdom_of_England'
 'Kingdom_of_France' 'Kingdom_of_Naples' 'Kingdom_of_Poland_(1385–1569)'
 'Lithuanian_Civil_War_(1431–35)' 'Livonian_Order' 'Moldavia'
 'Ottoman_Empire' 'Ottoman–Venetian_War_(1463–79)'
 'Ottoman–Venetian_War_(1499–1503)' 'Papal_States'
 'Peter_Boyle_(film_editor)' 'Podlachia' 'Polotsk' 'Republic_of_Florence'
 'Republic_of_Venice' 'Smolensk' 'Vitebsk' 'Volhynia']"
1505-1605	"['Adal_Sultanate' 'Anglo-Spanish_War_(1585–1604)'
 'António,_Prior_of_Crato' 'Archduchy_of_Austria' 'Battle_of_Diu_(1509)'
 'Battle_of_Gravelines_(1558)' 'Battle_of_Novara_(1513)'
 'Battle_of_Ravenna_(1512)' 'Battle_of_St._Quentin_(1557)' 'Billy_Weber'
 'Charles_V,_Holy_Roman_Emperor' 'Christopher_Young'
 'Conquest_of_Tunis_(1535)' 'County_of_Flanders' 'Crimean_Khanate'
 'Duchy_of_Ferrara' 'Duchy_of_Milan' 'Duchy_of_Savoy'
 'Electorate_of_Saxony' 'Ethiopian_Empire' 'Gaelic_Ireland'
 'Grand_Duchy_of_Tuscany' 'Habsburg_Spain' 'Henry_IV_of_France'
 'Holy_Roman_Empire' 'Hungarian_campaign_of_1527–28'
 'Italian_War_of_1521–26' 'Italian_War_of_1536–38'
 'Italian_War_of_1542–46' 'Italian_War_of_1551–59' 'Kingdom_of_Bohemia'
 'Kingdom_of_Croatia_(Habsburg)' 'Kingdom_of_England' 'Kingdom_of_France'
 'Kingdom_of_Hungary_(1526–1867)' 'Kingdom_of_Naples'
 'Kingdom_of_Portugal' 'Kingdom_of_Sicily' 'Long_War_(1591–1606)'
 'Mamluk_Sultanate_(Cairo)' 'Margraviate_of_Brandenburg' 'Moldavia'
 'Murder_at_1600' 'Old_Swiss_Confederacy' 'Ottoman_Empire'
 'Ottoman–Portuguese_conflicts_(1538–57)' 'Ottoman–Venetian_War_(1570–73)'
 'Papal_States' 'Portuguese_Empire'
 'Principality_of_Transylvania_(1570–1711)' 'Republic_of_Florence'
 'Republic_of_Genoa' 'Republic_of_Ragusa' 'Republic_of_Venice'
 'Safavid_dynasty' 'Siege_of_Florence_(1529–30)' 'Spain' 'Spanish_Empire'
 'Vojvodina' 'Wallachia' 'Zaporozhian_Cossacks']"
1606-1706	"['Anglo-Spanish_War_(1654–60)' 'Baden-Baden' 'Basel'
 'Battle_of_Beachy_Head_(1690)' 'Battle_of_Breitenfeld_(1631)'
 'Battle_of_Buda_(1686)' 'Battle_of_Cecora_(1620)'
 'Battle_of_Fleurus_(1690)' 'Battle_of_Lützen_(1632)'
 'Battle_of_Mohács_(1687)' 'Battle_of_Nördlingen_(1634)'
 'Battle_of_Saint_Gotthard_(1664)' 'Battle_of_Warsaw_(1656)'
 'Battle_of_the_Dunes_(1658)' 'Bern' 'Brandenburg-Prussia'
 'Commonwealth_of_England' 'Cossack_Hetmanate' 'Cretan_War_(1645–69)'
 'Crimean_Khanate' 'Croatia' 'Dano-Swedish_War_(1657–58)'
 'Dano-Swedish_War_(1658–60)' 'Denmark' 'Denmark–Norway' 'Duchy_of_Savoy'
 'Dutch_Republic' 'Electorate_of_Bavaria' 'Electorate_of_Saxony' 'England'
 'Franco-Spanish_War_(1635–59)' 'Habsburg_Monarchy' 'Habsburg_Spain'
 'Holy_Roman_Empire' 'Hungary' 'Kingdom_of_Croatia_(Habsburg)'
 'Kingdom_of_England' 'Kingdom_of_France' 'Kingdom_of_Hungary'
 'Kingdom_of_Hungary_(1526–1867)' 'Margraviate_of_Brandenburg' 'Moldavia'
 'Ottoman_Empire' 'Papal_States' 'Polish–Lithuanian_Commonwealth'
 'Polish–Ottoman_War_(1620–21)' 'Polish–Ottoman_War_(1633–34)'
 'Polish–Ottoman_War_(1672–76)' 'Polish–Swedish_War_(1626–29)'
 'Prince-Bishopric_of_Münster' 'Republic_of_Venice'
 'Russo-Polish_War_(1654–67)' 'Russo-Turkish_War_(1686–1700)'
 'Saxe-Weimar' 'Siege_of_Bonn_(1673)' 'Siege_of_Stralsund_(1628)'
 'Solothurn' 'Spain' 'Spanish_Empire' 'Stralsund' 'Swabia' 'Sweden'
 'Swedish_Empire' 'Swiss_peasant_war_of_1653' 'Thurgau'
 'Tsardom_of_Russia' 'Wallachia' 'Zürich']"
1707-1807	"['Archduchy_of_Austria' 'Austro-Russian–Turkish_War_(1735–39)'
 'Batavian_Republic' 'Battle_of_Bergen_(1759)' 'Battle_of_Bergen_(1799)'
 'Battle_of_Fleurus_(1794)' 'Battle_of_Hondschoote_(1793)'
 'Battle_of_Landeshut_(1760)' 'Battle_of_Liegnitz_(1760)'
 'Battle_of_Panipat_(1761)' 'Battle_of_Prague_(1757)'
 'Battle_of_Quebec_(1775)' 'Battle_of_Toulon_(1707)' 'Cossack_Hetmanate'
 'Crimean_Khanate' 'Denmark' 'Duchy_of_Brunswick-Lüneburg'
 'Duchy_of_Nassau' 'Duchy_of_Savoy' 'Dutch_Republic'
 'Electoral_Palatinate' 'Electorate_of_Brunswick-Lüneburg'
 'Electorate_of_Saxony' 'First_French_Empire' 'French_First_Republic'
 'Georgia_(country)' 'Habsburg_Monarchy' 'Hesse' 'Himarë'
 'Holy_Roman_Empire' 'Kingdom_of_France' 'Kingdom_of_Great_Britain'
 'Kingdom_of_Holland' 'Kingdom_of_Italy_(Napoleonic)' 'Kingdom_of_Prussia'
 'Kingdom_of_Württemberg' 'Landgraviate_of_Hesse-Kassel' 'Maratha_Empire'
 'Ottoman_Empire' 'Ottoman–Venetian_War_(1714–18)' 'Papal_States'
 'Philip_V_of_Spain' 'Portugal' 'Province_of_Quebec_(1763–91)' 'Prussia'
 'Qajar_dynasty' 'Republic_of_Ragusa' 'Republic_of_Venice'
 'Russian_Empire' 'Russo-Persian_War_(1722–23)'
 'Russo-Persian_War_(1804–13)' 'Russo-Swedish_War_(1741–43)'
 'Russo-Turkish_War_(1768–74)' 'Russo-Turkish_War_(1787–92)'
 'Russo-Turkish_War_(1806–12)' 'Safavid_dynasty' 'Saxe-Weimar'
 'Siege_of_Kolberg_(1807)' 'Siege_of_Lille_(1708)' 'Siege_of_Mainz_(1793)'
 'Siege_of_Stralsund_(1711–15)' 'Spain' 'Sweden' 'Swedish_Empire'
 'Thirteen_Colonies' 'Tsardom_of_Russia' 'Zaporozhian_Cossacks']"
1808-1908	"['1814_campaign_in_France' '1900_(film)' 'Allied_invasion_of_Italy'
 'Allied_invasion_of_Sicily' 'Austrian_Empire' 'Austro-Prussian_War'
 'Baden' 'Balkan_Campaign_(World_War_II)' 'Battle_of_Bezzecca'
 'Battle_of_Cape_Matapan' 'Battle_of_Caporetto' 'Battle_of_Crete'
 'Battle_of_Custoza_(1866)' 'Battle_of_France' 'Battle_of_Gazala'
 'Battle_of_Greece' 'Battle_of_Heligoland_(1864)' 'Battle_of_Lissa_(1866)'
 'Battle_of_Lützen_(1813)' 'Battle_of_Paris_(1814)'
 'Battle_of_Piave_River_(1809)' 'Battle_of_Reims_(1814)'
 'Battle_of_Sedan_(1870)' 'Battle_of_Stalingrad'
 'Battle_of_Wissembourg_(1870)' 'Battle_of_the_Atlantic'
 'Battle_of_the_Mincio_River_(1814)' 'Berlin_Conference'
 'Bernardo_Bertolucci' 'Bourbon_Restoration' 'Boxer_Rebellion'
 'British_Empire' 'British_North_America' 'Case_White' 'Continuation_war'
 'Denmark' 'Duchy_of_Warsaw' 'East_India_Company' 'Ennio_Morricone'
 'Ethiopia' 'First_Battle_of_the_Isonzo' 'First_French_Empire'
 'Franco_Arcalli' 'French_Third_Republic' 'German_Empire'
 'Giuseppe_Tornatore' 'Grand_Duchy_of_Baden' 'Grand_Duchy_of_Hesse'
 'Greco-Italian_War' 'Greco-Turkish_War_(1897)'
 'Hungarian_Revolution_of_1848' 'Hyderabad_State'
 'Indian_Rebellion_of_1857' 'Italian_Campaign_(World_War_I)'
 'Italian_Campaign_(World_War_II)' 'Jhansi' 'Kingdom_of_Bavaria'
 'Kingdom_of_Croatia_(Habsburg)' 'Kingdom_of_Greece'
 'Kingdom_of_Hungary_(1526–1867)' 'Kingdom_of_Italy'
 'Kingdom_of_Italy_(1861–1946)' 'Kingdom_of_Italy_(Napoleonic)'
 'Kingdom_of_Naples' 'Kingdom_of_Portugal' 'Kingdom_of_Prussia'
 'Kingdom_of_Sardinia' 'Kingdom_of_Saxony' 'Kingdom_of_Sicily'
 'Kingdom_of_Württemberg' 'Lower_Canada' 'Međimurje_County'
 'Mughal_Empire' 'North_African_Campaign' 'Operation_Barbarossa'
 'Operation_Battleaxe' 'Operation_Compass' 'Operation_Crusader'
 'Operation_Uranus' 'Ottoman_Empire' 'Principality_of_Serbia' 'Prussia'
 'Qajar_dynasty' 'Revolution_of_1905' 'Russian_Civil_War' 'Russian_Empire'
 'Russian_Social_Democratic_Labour_Party' 'Russo-Persian_War_(1826–28)'
 'Russo-Turkish_War_(1828–29)' 'Second_Battle_of_El_Alamein'
 'Second_Battle_of_Kharkov' 'Second_Battle_of_the_Marne' 'Second_Boer_War'
 'Second_French_Empire' 'Siege_of_Malta_(World_War_II)'
 'Siege_of_Paris_(1870–71)' 'Siege_of_Sevastopol_(1854–55)'
 'Siege_of_Tobruk' 'Spain' 'Spanish_Civil_War' 'The_Legend_of_1900'
 'United_Kingdom' 'United_Kingdom_of_the_Netherlands' 'United_States'
 'Upper_Canada' 'Vienna' 'War_of_1812' 'Western_Front_(World_War_I)'
 'Württemberg']"
1909-2009	"['12_(2007_film)' '12_Angry_Men_(1957_film)' '12_Angry_Men_(1997_film)'
 ... 'Édouard_Molinaro' 'Émile_Zola' 'Éric_Serra']"
